Date,Close,Open,High,Low,Volue_K,Volume
2020-05-07,9979.80,9152.70,10033.00,9064.80,1.91,1910000.00
2020-05-08,9806.20,9980.10,10018.20,9731.40,1.42,1420000.00
2020-05-09,9554.60,9806.00,9910.50,9533.60,1.49,1490000.00
2020-05-10,8738.80,9553.90,9569.40,8259.30,2.47,2470000.00
2020-05-11,8579.80,8737.60,9129.60,8235.60,2.29,2290000.00
2020-05-12,8813.80,8569.80,8964.50,8542.80,1.35,1350000.00
2020-05-13,9298.70,8813.90,9384.60,8799.10,1.50,1500000.00
2020-05-14,9778.40,9298.70,9887.50,9265.80,1.77,1770000.00
2020-05-15,9318.00,9778.60,9819.60,9223.20,1.56,1560000.00
2020-05-16,9379.50,9318.10,9579.00,9233.00,1.10,1100000.00
2020-05-17,9677.70,9376.60,9866.00,9327.80,1.18,1180000.00
2020-05-18,9730.70,9678.40,9930.20,9524.40,1.18,1180000.00
2020-05-19,9773.30,9730.80,9883.90,9498.70,1.16,1160000.00
2020-05-20,9512.30,9773.00,9829.30,9368.40,1.15,1150000.00
2020-05-21,9059.00,9511.60,9567.10,8833.60,1.41,1410000.00
2020-05-22,9169.70,9058.20,9253.50,8952.10,914.59,914590.00
2020-05-23,9177.00,9169.80,9303.20,9098.90,812.56,812560.00
2020-05-24,8728.20,9177.90,9292.00,8724.10,1.11,1110000.00
2020-05-25,8898.20,8728.00,8959.50,8666.10,941.89,941890.00
2020-05-26,8842.50,8897.70,8994.60,8713.90,784.92,784920.00
2020-05-27,9199.10,8842.30,9210.90,8818.60,810.89,810890.00
2020-05-28,9572.20,9199.80,9610.80,9119.20,948.86,948860.00
2020-05-29,9424.80,9573.40,9596.50,9358.10,814.33,814330.00
2020-05-30,9692.50,9424.80,9729.90,9352.70,720.62,720620.00
2020-05-31,9454.80,9692.90,9695.60,9406.20,645.27,645270.00
2020-06-01,10189.30,9454.50,10301.80,9429.70,796.68,796680.00
2020-06-02,9527.60,10190.70,10207.30,9347.30,1.06,1060000.00
2020-06-03,9667.20,9527.00,9667.20,9421.70,558.12,558120.00
2020-06-04,9794.40,9667.20,9864.40,9490.90,593.66,593660.00
2020-06-05,9631.20,9794.00,9846.10,9628.70,527.05,527050.00
2020-06-06,9669.60,9630.80,9733.10,9549.50,370.85,370850.00
2020-06-07,9742.60,9669.60,9791.80,9417.40,549.20,549200.00
2020-06-08,9777.90,9743.40,9788.20,9662.30,431.04,431040.00
2020-06-09,9768.80,9777.70,9857.20,9616.60,479.55,479550.00
2020-06-10,9878.80,9768.80,9970.90,9710.70,533.55,533550.00
2020-06-11,9283.20,9878.90,9945.20,9139.10,919.30,919300.00
2020-06-12,9466.60,9283.70,9547.50,9249.40,529.28,529280.00
2020-06-13,9471.30,9466.50,9484.90,9369.90,364.97,364970.00
2020-06-14,9345.30,9470.70,9474.70,9264.40,311.27,311270.00
